subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
41,109.750000,41.212500,40.0,3.09166,2.97992,3.32850,0.20657,39
41,109.750000,41.212500,60.0,3.32617,3.26561,3.39367,0.08054,39
41,109.750000,41.212500,80.0,3.52434,3.50797,3.56121,0.03349,39
41,109.750000,41.212500,100.0,3.58543,3.56278,3.61403,0.02902,39
42,109.750000,41.337500,2.0,2.80170,2.44469,3.46607,0.56085,39
42,109.750000,41.337500,5.0,3.18081,2.71253,3.64339,0.43538,39
42,109.750000,41.337500,10.0,3.47998,3.01102,3.86530,0.38062,39
42,109.750000,41.337500,20.0,3.80677,3.53069,4.10283,0.31697,39
42,109.750000,41.337500,40.0,3.01447,2.93090,3.19009,0.14343,39
42,109.750000,41.337500,60.0,3.24831,3.19903,3.32161,0.06322,39
42,109.750000,41.337500,80.0,3.50263,3.48514,3.53040,0.02324,39
42,109.750000,41.337500,100.0,3.56784,3.54668,3.59141,0.02759,39
43,109.750000,41.462500,2.0,2.89939,2.52031,3.31652,0.41892,39
43,109.750000,41.462500,5.0,2.94831,2.63374,3.29211,0.31449,39
43,109.750000,41.462500,10.0,3.21098,2.78774,3.53533,0.39027,39
43,109.750000,41.462500,20.0,3.73256,3.49024,4.06692,0.29404,39
43,109.750000,41.462500,40.0,2.96782,2.85853,3.13268,0.14163,39
43,109.750000,41.462500,60.0,3.25133,3.21141,3.30839,0.04925,39
43,109.750000,41.462500,80.0,3.50858,3.49457,3.52774,0.01736,39
43,109.750000,41.462500,100.0,3.55313,3.53256,3.57825,0.02188,39
44,109.750000,41.587500,2.0,2.69026,2.33961,3.09585,0.43722,39
44,109.750000,41.587500,5.0,2.88861,2.60003,3.27012,0.32640,39
44,109.750000,41.587500,10.0,3.10461,2.78030,3.46241,0.35799,39
44,109.750000,41.587500,20.0,3.73460,3.47731,4.01384,0.25969,39
44,109.750000,41.587500,40.0,3.05722,2.90709,3.22892,0.17328,39
44,109.750000,41.587500,60.0,3.27056,3.22662,3.34651,0.05405,39
44,109.750000,41.587500,80.0,3.51929,3.50211,3.54013,0.02215,39
44,109.750000,41.587500,100.0,3.54769,3.52884,3.56566,0.01962,39
45,109.750000,41.712500,2.0,2.66213,2.35374,3.04359,0.40364,39
45,109.750000,41.712500,5.0,2.90552,2.60543,3.21734,0.31741,39
45,109.750000,41.712500,10.0,3.16351,2.84645,3.56769,0.37878,39
