disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
0.014393181252772846,QEDisp m0 multistart,nan,10726,ok,0.07588865990599326
nan,DI-Strong,0.9128630705394191,10726,ok,0.07536429166793823
nan,DI-Weak,0.6846473029045643,10726,ok,0.16723303496837616
0.014251163628030063,QEDisp m0 multistart,nan,10755,ok,0.05312452037815524
nan,DI-Strong,0.5394190871369294,10755,ok,0.13072283565998077
nan,DI-Weak,0.5975103734439834,10755,ok,0.19894668459892273
0.010550552847233573,QEDisp m0 multistart,nan,10761,ok,0.10201982736086186
nan,DI-Strong,0.49377593360995853,10761,ok,0.13839402794837952
nan,DI-Weak,0.6348547717842323,10761,ok,0.14262959361076355
0.009182479434630197,QEDisp m0 multistart,nan,10823,ok,0.13369659064891448
nan,DI-Strong,0.6556016597510373,10823,ok,0.09896153956651688
nan,DI-Weak,1.0,10823,ok,0.1281016618013382
0.009838590950002543,QEDisp m0 multistart,nan,10955,ok,0.11894020997705289
nan,DI-Strong,0.5892116182572614,10955,ok,0.10720902681350708
nan,DI-Weak,0.9045643153526971,10955,ok,0.11908503621816635
0.023428041645131896,QEDisp m0 multistart,nan,10994,ok,0.12872665753472165
nan,DI-Strong,0.8796680497925311,10994,ok,0.0791514590382576
nan,DI-Weak,0.8174273858921162,10994,ok,0.14048722386360168
0.013050906961703619,QEDisp m0 multistart,nan,11107,ok,0.07760776722568734
nan,DI-Strong,0.6390041493775933,11107,ok,0.14044973254203796
nan,DI-Weak,0.5601659751037344,11107,ok,0.20460432767868042
0.004444710544843781,QEDisp m0 multistart,nan,11157,ok,0.09692138104826278
nan,DI-Strong,0.8008298755186722,11157,ok,0.07434899359941483
nan,DI-Weak,0.979253112033195,11157,ok,0.06177173927426338
0.006480818426112795,QEDisp m0 multistart,nan,11290,ok,0.06826950717285091
nan,DI-Strong,0.5684647302904564,11290,ok,0.11635098606348038
nan,DI-Weak,0.983402489626556,11290,ok,0.10526631772518158
0.010504226874072148,QEDisp m0 multistart,nan,11459,ok,0.17352737492029482
nan,DI-Strong,0.4979253112033195,11459,ok,0.12686793506145477
nan,DI-Weak,0.7966804979253111,11459,ok,0.15260128676891327
0.012948967640812468,QEDisp m0 multistart,nan,11544,ok,0.07903694623363952
nan,DI-Strong,0.7717842323651453,11544,ok,0.08736272901296616
nan,DI-Weak,0.7676348547717843,11544,ok,0.14289864897727966
0.011669893744096289,QEDisp m0 multistart,nan,11593,ok,0.10510736716177171
nan,DI-Strong,0.6431535269709544,11593,ok,0.1328931450843811
nan,DI-Weak,0.7510373443983402,11593,ok,0.1968560814857483
0.0063242748327673026,QEDisp m0 multistart,nan,11649,ok,0.13752279188153516
nan,DI-Strong,0.44398340248962653,11649,ok,0.14516212046146393
nan,DI-Weak,0.7593360995850622,11649,ok,0.176046684384346
0.0089260970956335,QEDisp m0 multistart,nan,11809,ok,0.10394912134332854
nan,DI-Strong,0.7634854771784232,11809,ok,0.1098327562212944
nan,DI-Weak,1.0,11809,ok,0.062016066163778305
0.00479276350574492,QEDisp m0 multistart,nan,12181,ok,0.1000384060262136
nan,DI-Strong,0.9626556016597511,12181,ok,0.0734005942940712
nan,DI-Weak,0.9377593360995851,12181,ok,0.08247626572847366
0.009631952350513243,QEDisp m0 multistart,nan,12657,ok,0.1425586142399997
nan,DI-Strong,0.6639004149377593,12657,ok,0.12037177383899689
nan,DI-Weak,0.45643153526970953,12657,ok,0.22448106110095978
